Color Code,Probability,Codeword
0,0.00048828125,00000000
1,0.01312255859375,00000001
2,0.0348358154296875,00000010
3,0.0304412841796875,00000011
4,0.02001953125,00000100
5,0.0159759521484375,00000101
6,0.0126495361328125,00000110
7,0.0109100341796875,00000111
8,0.00970458984375,00001000
9,0.00909423828125,00001001
10,0.0091705322265625,00001010
11,0.0087738037109375,00001011
12,0.0084686279296875,00001100
13,0.0094146728515625,00001101
14,0.0094451904296875,00001110
15,0.0093536376953125,00001111
16,0.00921630859375,00010000
17,0.009674072265625,00010001
18,0.0095367431640625,00010010
19,0.0086669921875,00010011
20,0.009307861328125,00010100
21,0.009124755859375,00010101
22,0.0089569091796875,00010110
23,0.0103302001953125,00010111
24,0.011077880859375,00011000
25,0.01043701171875,00011001
26,0.0115509033203125,00011010
27,0.01153564453125,00011011
28,0.01129150390625,00011100
29,0.010498046875,00011101
30,0.0098419189453125,00011110
31,0.0098114013671875,00011111
32,0.0094146728515625,00100000
33,0.00836181640625,00100001
34,0.00775146484375,00100010
35,0.006866455078125,00100011
36,0.0055694580078125,00100100
37,0.004913330078125,00100101
38,0.0041961669921875,00100110
39,0.0034332275390625,00100111
40,0.0025177001953125,00101000
41,0.0016937255859375,00101001
42,0.0013275146484375,00101010
43,0.00103759765625,00101011
44,0.0009765625,00101100
45,0.000640869140625,00101101
46,0.0006256103515625,00101110
47,0.0006256103515625,00101111
48,0.00048828125,00110000
49,0.000274658203125,00110001
50,0.0003662109375,00110010
51,0.0001373291015625,00110011
52,0.0001373291015625,00110100
53,0.0001678466796875,00110101
54,0.00018310546875,00110110
55,7.62939453125e-05,00110111
56,0.0001373291015625,00111000
57,3.0517578125e-05,00111001
58,1.52587890625e-05,00111010
59,4.57763671875e-05,00111011
60,0,00111100
61,1.52587890625e-05,00111101
62,3.0517578125e-05,00111110
63,3.0517578125e-05,00111111
64,0.0001068115234375,01000000
65,0,01000001
66,0,01000010
67,1.52587890625e-05,01000011
68,1.52587890625e-05,01000100
69,4.57763671875e-05,01000101
70,4.57763671875e-05,01000110
71,3.0517578125e-05,01000111
72,1.52587890625e-05,01001000
73,4.57763671875e-05,01001001
74,6.103515625e-05,01001010
75,7.62939453125e-05,01001011
76,0,01001100
77,3.0517578125e-05,01001101
78,3.0517578125e-05,01001110
79,0,01001111
80,4.57763671875e-05,01010000
81,1.52587890625e-05,01010001
82,1.52587890625e-05,01010010
83,3.0517578125e-05,01010011
84,1.52587890625e-05,01010100
85,6.103515625e-05,01010101
86,3.0517578125e-05,01010110
87,4.57763671875e-05,01010111
88,4.57763671875e-05,01011000
89,0,01011001
90,7.62939453125e-05,01011010
91,6.103515625e-05,01011011
92,4.57763671875e-05,01011100
93,3.0517578125e-05,01011101
94,3.0517578125e-05,01011110
95,1.52587890625e-05,01011111
96,1.52587890625e-05,01100000
97,1.52587890625e-05,01100001
98,1.52587890625e-05,01100010
99,3.0517578125e-05,01100011
100,3.0517578125e-05,01100100
101,1.52587890625e-05,01100101
102,4.57763671875e-05,01100110
103,1.52587890625e-05,01100111
104,4.57763671875e-05,01101000
105,4.57763671875e-05,01101001
106,3.0517578125e-05,01101010
107,0,01101011
108,3.0517578125e-05,01101100
109,4.57763671875e-05,01101101
110,4.57763671875e-05,01101110
111,0,01101111
112,6.103515625e-05,01110000
113,0,01110001
114,1.52587890625e-05,01110010
115,0,01110011
116,4.57763671875e-05,01110100
117,1.52587890625e-05,01110101
118,4.57763671875e-05,01110110
119,1.52587890625e-05,01110111
120,0,01111000
121,4.57763671875e-05,01111001
122,0,01111010
123,1.52587890625e-05,01111011
124,1.52587890625e-05,01111100
125,1.52587890625e-05,01111101
126,1.52587890625e-05,01111110
127,1.52587890625e-05,01111111
128,3.0517578125e-05,10000000
129,1.52587890625e-05,10000001
130,1.52587890625e-05,10000010
131,7.62939453125e-05,10000011
132,1.52587890625e-05,10000100
133,0,10000101
134,3.0517578125e-05,10000110
135,1.52587890625e-05,10000111
136,1.52587890625e-05,10001000
137,6.103515625e-05,10001001
138,0,10001010
139,4.57763671875e-05,10001011
140,4.57763671875e-05,10001100
141,1.52587890625e-05,10001101
142,3.0517578125e-05,10001110
143,3.0517578125e-05,10001111
144,0,10010000
145,0,10010001
146,3.0517578125e-05,10010010
147,1.52587890625e-05,10010011
148,4.57763671875e-05,10010100
149,3.0517578125e-05,10010101
150,1.52587890625e-05,10010110
151,1.52587890625e-05,10010111
152,1.52587890625e-05,10011000
